,Unnamed: 0,Headline,Ranking,Review,ReviewDate,clean_text,lemmatized,sent_toke,money_related,delivery_service,return_service,products,customer_service,brand
44,31,Simpelthen fremragende,5,"Simpelthen fremragende! Jeg bestilte et par støvler, der på trods af travlhed var fremme 3 dage efter.",2019-12-14,Simpelthen fremragende Jeg bestilte et par støvler der på trods af travlhed var fremme  dage efter.,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .,simpelthen fremragende jeg bestille en par støvle der på trods af travlhed være fremme dag efter .,0,0,0,0,0,0
45,32,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,supe oplevelse som altid .,0,0,0,0,0,1
46,32,Super oplevelse som altid,5,Super oplevelse som altid. Jeg er fan.,2019-12-13,Super oplevelse som altid. Jeg er fan.,supe oplevelse som altid . jeg være fan .,jeg være fan .,0,0,0,0,0,0
47,33,jeg er meget tilfreds,5,jeg er meget tilfreds,2019-12-13,jeg er meget tilfreds,jeg være meget tilfreds,jeg være meget tilfreds,0,0,0,0,0,0
48,34,Handler ikke på Bootz igen pga,1,Handler ikke på Bootz igen pga. dårlig kundeservice.,2019-12-13,Handler ikke på Bootz igen pga. dårlig kundeservice.,handler ikke på Bootz igen på_grund_af dårlig kundeservice .,handler ikke på bootz igen på_grund_af dårlig kundeservice .,0,0,0,0,1,0
49,35,Hurtig forsendelse alt er iorden,5,Hurtig forsendelse alt er iorden,2019-12-13,Hurtig forsendelse alt er iorden,hurtig forsendelse al være iorden,hurtig forsendelse al være iorden,0,1,0,0,0,0
50,36,Jeg kan altid finde gode tilbud på…,5,Jeg kan altid finde gode tilbud på forskelligt tøj til den rette anledning og anvendeligt.,2019-12-13,Jeg kan altid finde gode tilbud på forskelligt tøj til den rette anledning og anvendeligt.,jeg kunne altid finde god tilbud på forskelligt tøj til den rette anledning og anvendelig .,jeg kunne altid finde god tilbud på forskelligt tøj til den rette anledning og anvendelig .,1,0,0,1,0,0
51,37,Var som forventet,5,"Var som forventet , vil handle der igen☺️",2019-12-13,Var som forventet  vil handle der igen,være som forvente ville handle der igen,være som forvente ville handle der igen,0,0,0,0,0,0
52,38,Mega hurtig levering.,5,Mega hurtig levering.,2019-12-13,Mega hurtig levering.,Mega hurtig levering .,mega hurtig levering .,0,1,0,0,1,0
53,39,Absolut hurtigste levering,5,Absolut hurtigste levering,2019-12-13,Absolut hurtigste levering,absolut hurtigst levering,absolut hurtigst levering,0,1,0,0,1,0
54,40,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,hurtig levering .,0,1,0,0,1,0
55,40,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,stor udvalg af mærkevare .,0,0,0,1,0,0
56,40,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,mange god tilbud .,1,0,0,0,0,0
57,40,Hurtig levering og gode varer,5,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",2019-12-14,"Hurtig levering. Stort udvalg af mærkevarer. Mange gode tilbud.
Boozt er lidt længe om at tilbagebetale ved returnering.",hurtig levering . Stor udvalg af mærkevare . mange god tilbud . Boozt være lidt længe om at tilbagebetal ved returnering .,boozt være lidt længe om at tilbagebetal ved returnering .,0,0,1,0,1,0
58,41,Det fungerer bare 👍😊👏,5,Det fungerer bare 👍😊👏,2019-12-14,Det fungerer bare ,det fungere bare,det fungere bare,0,0,0,0,0,0
59,42,Super,5,"Super fin, hurtig levering.",2019-12-14,Super fin hurtig levering.,supe fin hurtig levering .,supe fin hurtig levering .,0,1,0,0,1,0
60,43,Boozt funker bare perfekt,5,Boozt funker bare perfekt - også når der skal byttes! Tak.,2019-12-14,Boozt funker bare perfekt  også når der skal byttes Tak.,Boozt funke bare perfekt også når der skulle bytte takke,boozt funke bare perfekt også når der skulle bytte takke,0,0,1,0,0,0
61,44,"Gode priser,hurtig levering og fin…",5,"Gode priser,hurtig levering og fin kundeservice !",2019-12-14,Gode priserhurtig levering og fin kundeservice ,Gode priserhurtig levering og fin kundeservice,gode priserhurtig levering og fin kundeservice,1,1,0,0,1,0
62,45,Ok levering nemt og hurtigt,5,"Ok levering nemt og hurtigt, nemt at returnere , så alt ok",2019-12-14,Ok levering nemt og hurtigt nemt at returnere  så alt ok,ok levering nemt og hurtigt nemt at returnere så al ok,ok levering nemt og hurtigt nemt at returnere så al ok,0,1,1,0,1,0
